codigo_region;nombre_region;codigo_comuna;nombre_comuna;clasificacion;variable;valor;n
1;Tarapacá;1101;Iquique;Urbana;area;Rural;1488
1;Tarapacá;1101;Iquique;Urbana;area;Urbana;65500
1;Tarapacá;1101;Iquique;Urbana;p01;Casa;38383
1;Tarapacá;1101;Iquique;Urbana;p01;Departamento en edificio;22525
1;Tarapacá;1101;Iquique;Urbana;p01;Mediagua, mejora, rancho o choza;586
1;Tarapacá;1101;Iquique;Urbana;p01;Móvil (carpa, casa rodante o similar);55
1;Tarapacá;1101;Iquique;Urbana;p01;Operativo calle (no es vivienda);1
1;Tarapacá;1101;Iquique;Urbana;p01;Operativo personas en tránsito (no es vivienda);1
1;Tarapacá;1101;Iquique;Urbana;p01;Otro tipo de vivienda particular;667
1;Tarapacá;1101;Iquique;Urbana;p01;Pieza en casa antigua o en conventillo;4489
1;Tarapacá;1101;Iquique;Urbana;p01;Vivienda colectiva;261
1;Tarapacá;1101;Iquique;Urbana;p01;Vivienda tradicional indígena (ruka, pae pae u otras);20
1;Tarapacá;1101;Iquique;Urbana;p02;Con moradores ausentes;3673
1;Tarapacá;1101;Iquique;Urbana;p02;Con moradores presentes;56270
1;Tarapacá;1101;Iquique;Urbana;p02;De temporada (vacacional u otro);1564
1;Tarapacá;1101;Iquique;Urbana;p02;En venta, para arriendo, abandonada u otro;5481
1;Tarapacá;1101;Iquique;Urbana;p03a;Adobe, barro, quincha, pirca u otro artesanal tradicional;84
1;Tarapacá;1101;Iquique;Urbana;p03a;Albañilería: bloque de cemento, piedra o ladrillo;24336
1;Tarapacá;1101;Iquique;Urbana;p03a;Hormigón armado;20712
1;Tarapacá;1101;Iquique;Urbana;p03a;Materiales precarios (lata, cartón, plástico, etc.);345
1;Tarapacá;1101;Iquique;Urbana;p03a;No aplica;10981
1;Tarapacá;1101;Iquique;Urbana;p03a;Tabique forrado por ambas caras (madera o acero) (1-6);7275
1;Tarapacá;1101;Iquique;Urbana;p03a;Tabique sin forro interior (madera u otro);2774
1;Tarapacá;1101;Iquique;Urbana;p03a;NA;481
1;Tarapacá;1101;Iquique;Urbana;p03b;Fonolita o plancha de fieltro embreado;651
1;Tarapacá;1101;Iquique;Urbana;p03b;Losa hormigón;17268
1;Tarapacá;1101;Iquique;Urbana;p03b;Materiales precarios (lata, cartón, plásticos, etc.);590
1;Tarapacá;1101;Iquique;Urbana;p03b;No aplica;10981
1;Tarapacá;1101;Iquique;Urbana;p03b;Paja, coirón, totora o caña;43
1;Tarapacá;1101;Iquique;Urbana;p03b;Planchas metálicas de zinc, cobre, etc. o fibrocemento (tipo pizarreño);21126
1;Tarapacá;1101;Iquique;Urbana;p03b;Sin cubierta sólida de techo;182
1;Tarapacá;1101;Iquique;Urbana;p03b;Tejas o tejuelas de arcilla, metálicas, de cemento, de madera, asfálticas o plásticas;15518
1;Tarapacá;1101;Iquique;Urbana;p03b;NA;629
1;Tarapacá;1101;Iquique;Urbana;p03c;Baldosa de cemento;2576
1;Tarapacá;1101;Iquique;Urbana;p03c;Capa de cemento sobre tierra;952
1;Tarapacá;1101;Iquique;Urbana;p03c;No aplica;10981
1;Tarapacá;1101;Iquique;Urbana;p03c;Parquet, piso flotante, cerámico, madera, alfombra, flexit, cubrepiso u otro similar, sobre radier o vigas de madera (1-5);50233
1;Tarapacá;1101;Iquique;Urbana;p03c;Radier sin revestimiento;1133
1;Tarapacá;1101;Iquique;Urbana;p03c;Tierra;336
1;Tarapacá;1101;Iquique;Urbana;p03c;NA;777
